Date,Name
02-05-2007,Buddha Purnima/Vesak
08-05-2007,Birthday of Ravindranath
13-05-2007,Mother's Day
17-06-2007,Father's Day
21-06-2007,June Solstice
16-07-2007,Rath Yatra
28-07-2007,Hazarat Ali's Birthday
05-08-2007,Friendship Day
15-08-2007,Independence Day
20-08-2007,Parsi New Year
26-08-2007,Onam
28-08-2007,Raksha Bandhan (Rakhi)
03-09-2007,Janmashtami (Smarta)
04-09-2007,Janmashtami
15-09-2007,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2007,September Equinox
02-10-2007,Mahatma Gandhi Jayanti
12-10-2007,Jamat Ul-Vida
12-10-2007,First Day of Sharad Navratri
13-10-2007,Ramzan Id/Eid-ul-Fitar
17-10-2007,First Day of Durga Puja Festivities
18-10-2007,Maha Saptami
19-10-2007,Maha Ashtami
21-10-2007,Dussehra
26-10-2007,Maharishi Valmiki Jayanti
29-10-2007,Karaka Chaturthi (Karva Chauth)
31-10-2007,Halloween
09-11-2007,Diwali/Deepavali
10-11-2007,Govardhan Puja
11-11-2007,Bhai Duj
16-11-2007,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
24-11-2007,Guru Nanak Jayanti
24-11-2007,Guru Tegh Bahadur's Martyrdom Day
05-12-2007,First Day of Hanukkah
12-12-2007,Last day of Hanukkah
20-12-2007,Bakr Id/Eid ul-Adha
22-12-2007,December Solstice
24-12-2007,Christmas Eve
25-12-2007,Christmas
31-12-2007,New Year's Eve
01-01-2008,New Year's Day
05-01-2008,Guru Govind Singh Jayanti
15-01-2008,Pongal
15-01-2008,Makar Sankranti
26-01-2008,Republic Day
07-02-2008,Chinese New Year
11-02-2008,Vasant Panchami
14-02-2008,Valentine's Day
19-02-2008,Shivaji Jayanti
21-02-2008,Guru Ravidas Jayanti
02-03-2008,Maharishi Dayanand Saraswati Jayanti
06-03-2008,Maha Shivaratri/Shivaratri
20-03-2008,Maundy Thursday
20-03-2008,March Equinox
21-03-2008,Good Friday
21-03-2008,Milad un-Nabi/Id-e-Milad
